"CustomerID","Age","Gender","Income","MonthlySpend","TransactionsPerMonth","SavingsBalance","CreditCardUsage","LoanHistory","Tenure"
1,0.576923076923077,1,0.635029977322854,0.452179057385131,0.469387755102041,0.847485313663619,1,1,1
2,0.269230769230769,1,0.548592774377932,0.577203707355551,0.877551020408163,0.668428688832297,2,2,0.482758620689655
3,0.961538461538462,1,0.435362368363828,0.495957404851114,0.510204081632653,0.754608820933229,1,3,0.551724137931034
4,0.25,2,0.615676741946507,0.428712285545257,0.36734693877551,0.779354917259362,2,1,0.793103448275862
5,0.0384615384615385,1,0.597752477400516,0.521396174324591,0.408163265306122,0.377979119530037,3,2,0.0344827586206897
6,0.788461538461538,1,0.327933273275139,0.585486097416683,0.489795918367347,0.353050395186737,1,3,0.827586206896552
7,0.942307692307692,1,0.255824609362865,0.438177874186551,0.795918367346939,0.49135053418695,1,1,0.206896551724138
8,0.807692307692308,2,0.498299214066043,0.532242161309406,0.755102040816326,0.0546362151358042,1,1,0.344827586206897
9,0.692307692307692,2,0.430850237644062,0.279629264444883,0.448979591836735,0.687462586621483,2,2,0.793103448275862
10,0.980769230769231,1,0.320322450374328,0.420824295010846,0.918367346938776,0.959162346161261,1,2,0.827586206896552
11,0.25,1,0.486440309403249,0.394005127193847,0.653061224489796,0.74589340611398,2,1,0.724137931034483
12,0.461538461538462,1,0.268374701003386,0.491224610530467,0.326530612244898,0.161747547204269,2,1,0.931034482758621
13,0.480769230769231,2,0.498446770836569,0.516663380003944,0.836734693877551,0.0404926898063128,2,2,0.0689655172413793
14,0.5,1,0.376331894007642,0.440741471110235,0.816326530612245,0.507868223739613,1,2,0.724137931034483
15,0.0769230769230769,1,0.622068279954024,0.339380792743049,0.142857142857143,0.92886638731344,2,3,0.0344827586206897
16,0.961538461538462,1,0.849981361250039,0.313547623742852,0.836734693877551,0.919034912389282,2,1,0.689655172413793
17,0.5,1,0.331125159205989,0.504239794912246,0.36734693877551,0.0769777092359047,3,1,0.758620689655172
18,0.519230769230769,1,0.637678233046504,0.674225990928811,0.0204081632653061,0.401274337719788,2,2,0.931034482758621
19,0.153846153846154,2,0.601565654996738,0.336028396765924,0.775510204081633,0.0158277614878096,1,1,0.586206896551724
20,0.538461538461538,1,0.462497281848964,0.399526720567935,0.102040816326531,0.968922799078743,2,1,0.862068965517241
21,0.653846153846154,2,0.402938709577211,0.512522184973378,0.673469387755102,0.830754558090928,2,3,0.827586206896552
22,0.134615384615385,1,0.718081140691498,0.372707552750937,0.775510204081633,0.00447438642059232,1,2,0.241379310344828
23,0.480769230769231,1,0.161908607996024,0.47939262472885,0,0.0626515558892463,2,2,0.517241379310345
24,0.115384615384615,2,0.373497250784381,0.452770656675212,0.551020408163265,0.497052586722943,2,1,0.758620689655172
25,0.788461538461538,2,0.250225218228697,0.337803194636166,0.183673469387755,0.410192672558111,2,2,0.448275862068966
26,0.153846153846154,2,0.690123015749744,0.591402090317492,0.959183673469388,0.844289323363196,3,3,0.137931034482759
27,0.346153846153846,2,0.443780870429623,0.593768487477815,0.795918367346939,0.0865048041314516,2,2,0.862068965517241
28,0.673076923076923,2,0.391910782516853,0.621770853874975,0.755102040816326,0.699810269782165,1,3,0.793103448275862
29,0.25,2,0.967956882358423,0.660224807730231,0.183673469387755,0.0335629711549193,3,1,0.551724137931034
30,0.307692307692308,2,0.465627038613277,0.380398343521988,0.857142857142857,0.563904587007031,1,1,0.724137931034483
31,0.807692307692308,1,0.404476406449008,0.386905935712877,0.63265306122449,0.327705684804334,3,2,0.689655172413793
32,0.730769230769231,1,0.51997452704172,0.501478998225202,0.285714285714286,0.82195797526405,1,3,0.862068965517241
33,1,2,0.229792488583766,0.559652928416486,1,0.74156106370674,2,2,0.379310344827586
34,0.211538461538462,2,0.549555776459259,0.406625912048906,0.244897959183673,0.690790474934305,2,1,0.137931034482759
35,0.269230769230769,1,0.458466652169861,0.393413527903766,0.836734693877551,0.623776138634957,3,1,0.758620689655172
36,0.596153846153846,2,0.546177503028797,0.362650364819562,0.36734693877551,0.560181004657014,3,2,0.448275862068966
37,0.788461538461538,2,0.320819483706626,0.6941431670282,0.612244897959184,0.258479520297075,1,3,0.724137931034483
38,0.846153846153846,1,0.31450560715728,0.0644843226188129,0.0204081632653061,0.0333499051348911,2,1,0.758620689655172
39,0.115384615384615,1,0.365700040383958,0.433839479392625,0.693877551020408,0.492953602337639,3,1,0.862068965517241
40,0.153846153846154,2,0.354112950824765,0.466377440347072,0.448979591836735,0.83459989245239,1,2,0.379310344827586
41,0.769230769230769,2,0.675173185051723,0.293038848353382,0.326530612244898,0.459776179218961,3,2,0.379310344827586
42,0.173076923076923,2,0.718679133919419,0.52100177479787,0.163265306122449,0.707571960511764,2,1,0
43,0.423076923076923,2,0.449030785002019,0.149871820153816,0.0612244897959184,0.489838780044845,2,1,0.206896551724138
44,0.5,2,0.4176477897549,0.61092486689016,0.63265306122449,0.453485658627652,1,1,0.413793103448276
45,1,2,0.422291944953558,0.197791362650365,0.73469387755102,0.326285244670813,2,2,0.103448275862069
46,0.115384615384615,1,0.484157062533006,0.112798264642082,0.346938775510204,0.0347094692626901,2,1,0.931034482758621
47,1,1,0.488451741169892,0.339775192269769,0.571428571428571,0.640821420237214,3,2,0.206896551724138
48,0.5,2,0.518452362461558,0.48590021691974,0.26530612244898,0.592140907661245,1,3,0.827586206896552
49,0.596153846153846,2,0.357421328942872,0.357523170972195,0.224489795918367,0.137133348890535,2,1,0.655172413793103
50,0.711538461538462,2,0.341857972725296,0.372115953460856,0.346938775510204,0.347987540710829,2,3,0.517241379310345
51,0.461538461538462,1,0.659338013730546,0.512916584500099,1,0.647020626819939,1,3,0.551724137931034
52,0.634615384615385,2,0.388183032524619,0.293236048116742,0,0.646350990756993,2,1,0.413793103448276
53,0.538461538461538,1,0.520471560374018,0.446657464011043,0.877551020408163,0.365824210387476,2,2,0.96551724137931
54,0.0769230769230769,1,0.46455531049051,0.538749753500296,0.938775510204082,0.34801797871369,1,3,0.724137931034483
55,0.134615384615385,1,0.324624895157031,0.718004338394794,0.816326530612245,0.367264942522905,2,3,0.379310344827586
56,0.211538461538462,1,0.565204560280824,0.535988956813252,0.775510204081633,0.920871338561906,1,1,0.793103448275862
57,0.230769230769231,2,0.500287347395235,0.730822323013212,0.979591836734694,0.760270289465407,2,3,0.517241379310345
58,0.326923076923077,1,0.690821968873288,0.531847761782686,0.122448979591837,0.141891823337831,1,1,0.655172413793103
59,0.615384615384615,1,0.491643627100742,0.459672648392822,0.959183673469388,0.333012043303132,3,2,0.689655172413793
60,0.5,2,0.421903637662701,0.10431867481759,0.653061224489796,0.242499568794959,1,2,0.96551724137931
61,0.461538461538462,1,0.516627318194526,0.267008479589824,0.979591836734694,0.159982143038321,2,2,0.413793103448276
62,0.711538461538462,1,0.289250100959896,0.40997830802603,1,0.974300179584217,2,1,0.241379310344828
63,0.384615384615385,1,0.34356652480507,0.572668112798265,0.244897959183673,0.112032142531021,2,2,0.310344827586207
